,CATEGORY_1,CATEGORY_2,CATEGORY_3,CATEGORY_4,MANUFACTURER,BRAND,BARCODE
9,Health & Wellness,,,,CHURCH & DWIGHT,REPHRESH,UNKNOWN_9
124,Snacks,Jerky & Dried Meat,,,CONAGRA,SLIM JIM,UNKNOWN_124
147,Snacks,Crackers,Wheat Crackers,,KELLANOVA,CARR'S,UNKNOWN_147
365,Health & Wellness,Hair Care,Shampoo,,UNILEVER,APOTHECARE ESSENTIALS,UNKNOWN_365
428,Health & Wellness,Eye Care,Contact Lens Solution,,BAUSCH + LOMB CORPORATION,BAUSCH + LOMB,UNKNOWN_428
670,Health & Wellness,Bath & Body,Hand & Body Lotions,,COTY,MARC JACOBS FRAGRANCE & BODY CARE,UNKNOWN_670
699,Health & Wellness,Bath & Body,,,SANOFI AVENTIS US LLC,GOLD BOND,UNKNOWN_699
838,Health & Wellness,,,,FRISKA,FRISKA,UNKNOWN_838
1840,Health & Wellness,Bath & Body,Hand Sanitizer Wipes,,GEORGIA-PACIFIC,ANGEL SOFT,UNKNOWN_1840
2075,Health & Wellness,Skin Care,,,"BEIERSDORF, INC.",COPPERTONE,UNKNOWN_2075
2139,Health & Wellness,Eye Care,,,BAUSCH + LOMB CORPORATION,BAUSCH + LOMB,UNKNOWN_2139
2235,Snacks,Dessert Toppings,,,KRAFTHEINZ,JET-PUFFED,UNKNOWN_2235
2380,Health & Wellness,First Aid,Ointments & Liquids,,,,UNKNOWN_2380
2415,Health & Wellness,Deodorant & Antiperspirant,Men's Deodorant & Antiperspirant,,COTY,ADIDAS FRAGRANCE & BODY CARE,UNKNOWN_2415
2688,Snacks,Crackers,Sandwich Crackers,,KELLANOVA,KEEBLER SANDWICH CRACKERS,UNKNOWN_2688
2746,Apparel & Accessories,Clothing,Shirts & Tops,,PEPSICO,FRITO-LAY,UNKNOWN_2746
2754,Health & Wellness,Skin Care,,,WELLBEAM CONSUMER HEALTH,TRUSKIN,UNKNOWN_2754
3335,Health & Wellness,Bath & Body,Body Wash,,UNILEVER,BELOVED,UNKNOWN_3335
3433,Snacks,Nuts & Seeds,,,THE HERSHEY COMPANY,LILY'S,UNKNOWN_3433
3817,Health & Wellness,Foot Care,Foot Care Devices and Grooming Aids,,CHURCH & DWIGHT,ARM & HAMMER,UNKNOWN_3817
4260,Health & Wellness,Oral Care,Toothpaste,,COLGATE-PALMOLIVE,TOM'S OF MAINE,UNKNOWN_4260
4304,Health & Wellness,Skin Care,Facial Cleansers,,COTY,ORVEDA,UNKNOWN_4304
4353,Snacks,Candy,,,THE HERSHEY COMPANY,HONEST ORGANIC GUMMIES,UNKNOWN_4353
4379,Health & Wellness,,,,HALEON,NICODERM CQ,UNKNOWN_4379
4380,Health & Wellness,,,,RECKITT BENCKISER,SCALPICIN,UNKNOWN_4380
4473,Restaurant,Beverages,Soda,Diet Soda,PEPSICO,PEPSI,UNKNOWN_4473
4613,Snacks,Dessert Toppings,Canned & Whipped Cream,,KRAFTHEINZ,DREAM WHIP,UNKNOWN_4613
4845,Snacks,Fruit & Vegetable Snacks,,,GENERAL MILLS,FRUIT ROLL UPS,UNKNOWN_4845
5267,Health & Wellness,Hair Care,Hair Styling Products,,HENKEL,ALTERNA,UNKNOWN_5267
5602,Health & Wellness,Hair Care,Hair Styling Products,,UNILEVER,NUBIAN HERITAGE,UNKNOWN_5602
5754,Health & Wellness,,,,PROCTER & GAMBLE,NEXT OF US,UNKNOWN_5754
5938,Health & Wellness,Bath & Body,Bar Soap,,"SC JOHNSON & SON, INC",METHOD,UNKNOWN_5938
5939,Health & Wellness,Medicines & Treatments,Vitamins & Herbal Supplements,,RECKITT BENCKISER,DIGESTIVE ADVANTAGE,UNKNOWN_5939
6038,Snacks,Candy,,,THE HERSHEY COMPANY,ZAGNUT,UNKNOWN_6038
6193,Snacks,Cookies,,,MONDELĒZ INTERNATIONAL,LU,UNKNOWN_6193
6242,Snacks,Chips,Tortilla Chips,,,,UNKNOWN_6242
6461,Snacks,Chips,Whole Grain Chips,,GENERAL MILLS,GARDETTOS,UNKNOWN_6461
6768,Health & Wellness,,,,COTY,"GUCCI FRAGRANCE, BEAUTY, & BODY CARE",UNKNOWN_6768
6924,Health & Wellness,Bath & Body,Hand & Body Lotions,,THE CLOROX COMPANY,BURT'S BEES BEAUTY,UNKNOWN_6924
7300,Snacks,Snack Mixes,,,GENERAL MILLS,CHEX MIX,UNKNOWN_7300
